WaitDays,SMS_received,No_Show_Rate,Count
-7,0,1.0,1
-2,0,1.0,4
-1,0,0.0464694136866945,38563
0,0,0.21350469978898906,5213
1,0,0.23821561338289962,6725
2,0,0.24631348989623156,1831
2,1,0.2130242825607064,906
3,0,0.24373881932021466,2236
3,1,0.2246234446627374,3054
4,0,0.3000817661488144,1223
4,1,0.24586173320350535,2054
5,0,0.2793791574279379,1353
5,1,0.2321162444113264,2684
6,0,0.2782101167315175,2056
6,1,0.25859649122807016,2850
7,0,0.297085201793722,892
7,1,0.28125,1440
8,0,0.28618421052631576,608
8,1,0.2668004012036108,997
9,0,0.35209235209235207,693
9,1,0.2808022922636103,698
10,0,0.3405940594059406,505
10,1,0.29045643153526973,482
11,0,0.3858093126385809,451
11,1,0.26957831325301207,664
12,0,0.34049079754601225,652
12,1,0.3048543689320388,1030
13,0,0.3639344262295082,1220
13,1,0.2770230360307147,1693
14,0,0.3724137931034483,580
14,1,0.30985915492957744,923
15,0,0.34192037470725994,427
15,1,0.28314917127071826,724
16,0,0.36796536796536794,462
16,1,0.27906976744186046,645
17,0,0.3627906976744186,430
17,1,0.2639593908629442,591
18,0,0.38271604938271603,486
18,1,0.3172043010752688,558
19,0,0.35818181818181816,550
19,1,0.33124018838304553,637
20,0,0.3361581920903955,708
20,1,0.29228100607111884,1153
21,0,0.3957894736842105,475
21,1,0.30945558739255014,698
22,0,0.37237237237237236,333
22,1,0.310838445807771,489
23,0,0.475,320
23,1,0.27483443708609273,302
24,0,0.46473029045643155,241
24,1,0.36363636363636365,396
25,0,0.39215686274509803,204
25,1,0.34724857685009486,527
26,0,0.3719512195121951,328
26,1,0.28905109489051095,685
27,0,0.3449367088607595,632
27,1,0.26536312849162014,1074
28,0,0.366120218579235,366
28,1,0.3070539419087137,723
29,0,0.2815533980582524,309
29,1,0.25316455696202533,395
30,0,0.37770897832817335,323
30,1,0.2808022922636103,349
31,0,0.35570469798657717,298
31,1,0.3472222222222222,288
32,0,0.3684210526315789,304
32,1,0.3055555555555556,360
33,0,0.3474025974025974,308
33,1,0.326,500
34,0,0.450920245398773,326
34,1,0.3328100470957614,637
35,0,0.36548223350253806,197
35,1,0.2796610169491525,354
36,0,0.43859649122807015,114
36,1,0.31797235023041476,217
37,0,0.37373737373737376,99
37,1,0.31,100
38,0,0.38461538461538464,52
38,1,0.2966101694915254,118
39,0,0.5116279069767442,86
39,1,0.35119047619047616,168
40,0,0.44715447154471544,123
40,1,0.3013698630136986,219
41,0,0.416,125
41,1,0.3493150684931507,292
42,0,0.2828282828282828,99
42,1,0.3096774193548387,155
43,0,0.34,50
43,1,0.2803738317757009,107
44,0,0.3333333333333333,54
44,1,0.3855421686746988,83
45,0,0.4634146341463415,41
45,1,0.3125,80
46,0,0.35555555555555557,45
46,1,0.265625,64
47,0,0.3409090909090909,44
47,1,0.2602739726027397,73
48,0,0.4175824175824176,91
48,1,0.296,125
49,0,0.3148148148148148,54
49,1,0.25,128
50,0,0.42424242424242425,33
50,1,0.3275862068965517,58
51,0,0.2608695652173913,46
51,1,0.25,44
52,0,0.3225806451612903,31
52,1,0.35384615384615387,65
53,0,0.3055555555555556,36
53,1,0.43243243243243246,37
54,0,0.625,32
54,1,0.37662337662337664,77
55,0,0.2835820895522388,67
55,1,0.23529411764705882,136
56,0,0.2571428571428571,35
56,1,0.4444444444444444,63
57,0,0.36585365853658536,41
57,1,0.30434782608695654,69
58,0,0.4411764705882353,34
58,1,0.32142857142857145,56
59,0,0.5555555555555556,36
59,1,0.2972972972972973,37
60,0,0.4722222222222222,36
60,1,0.1414141414141414,99
61,0,0.2962962962962963,27
61,1,0.1927710843373494,166
62,0,0.3137254901960784,51
62,1,0.2483221476510067,149
63,0,0.5882352941176471,17
63,1,0.3103448275862069,58
64,0,0.375,16
64,1,0.2839506172839506,81
65,0,0.34285714285714286,35
65,1,0.28346456692913385,127
66,0,0.4375,16
66,1,0.2553191489361702,47
67,0,0.48,25
67,1,0.24444444444444444,45
68,0,0.3142857142857143,70
68,1,0.34285714285714286,35
69,0,0.3793103448275862,29
69,1,0.2891566265060241,83
70,0,0.4,10
70,1,0.175,40
71,0,0.36,25
71,1,0.25,28
72,0,0.30434782608695654,23
72,1,0.42857142857142855,14
73,0,0.4,30
73,1,0.1111111111111111,9
74,0,0.2857142857142857,56
74,1,0.375,16
75,0,0.24489795918367346,49
75,1,0.5,16
76,0,0.3684210526315789,38
76,1,0.26666666666666666,15
77,0,0.4583333333333333,24
77,1,0.2222222222222222,9
