WaitDays,No_Show_Rate,Total_Appointments
-7,1.0,1
-2,1.0,4
-1,0.0464694136866945,38563
0,0.21350469978898906,5213
1,0.23821561338289962,6725
2,0.23529411764705882,2737
3,0.23270321361058602,5290
4,0.2660970399755874,3277
5,0.24795640326975477,4037
6,0.26681614349775784,4906
7,0.28730703259005147,2332
8,0.27414330218068533,1605
9,0.3163191948238677,1391
10,0.3161094224924012,987
11,0.3165919282511211,1115
12,0.31866825208085614,1682
13,0.31342258839684173,2913
14,0.33399866932801064,1503
15,0.3049522154648132,1151
16,0.31616982836495033,1107
17,0.30558276199804113,1021
18,0.34770114942528735,1044
19,0.34372367312552654,1187
20,0.30897367006985493,1861
21,0.34441602728047743,1173
22,0.3357664233576642,822
23,0.3778135048231511,622
24,0.40188383045525905,637
25,0.359781121751026,731
26,0.315893385982231,1013
27,0.29484173505275496,1706
28,0.3269054178145087,1089
29,0.265625,704
30,0.3273809523809524,672
31,0.3515358361774744,586
32,0.33433734939759036,664
33,0.3341584158415842,808
34,0.37279335410176534,963
35,0.3103448275862069,551
36,0.3595166163141994,331
37,0.3417085427135678,199
38,0.3235294117647059,170
39,0.40551181102362205,254
40,0.3538011695906433,342
41,0.36930455635491605,417
42,0.2992125984251969,254
43,0.29936305732484075,157
44,0.36496350364963503,137
45,0.36363636363636365,121
46,0.30275229357798167,109
47,0.2905982905982906,117
48,0.3472222222222222,216
49,0.2692307692307692,182
50,0.3626373626373626,91
51,0.25555555555555554,90
52,0.34375,96
53,0.3698630136986301,73
54,0.44954128440366975,109
55,0.2512315270935961,203
56,0.37755102040816324,98
57,0.32727272727272727,110
58,0.36666666666666664,90
59,0.4246575342465753,73
60,0.22962962962962963,135
61,0.20725388601036268,193
62,0.265,200
63,0.37333333333333335,75
64,0.29896907216494845,97
65,0.2962962962962963,162
66,0.30158730158730157,63
67,0.32857142857142857,70
68,0.3238095238095238,105
69,0.3125,112
70,0.22,50
71,0.3018867924528302,53
72,0.35135135135135137,37
73,0.3333333333333333,39
74,0.3055555555555556,72
75,0.3076923076923077,65
76,0.33962264150943394,53
77,0.3939393939393939,33
78,0.391304347826087,23
79,0.4444444444444444,18
80,0.4,10
81,0.0,1
82,0.125,8
83,0.2222222222222222,54
84,0.21621621621621623,37
85,0.16666666666666666,6
86,0.3125,16
87,0.3125,16
88,0.4117647058823529,17
89,0.2413793103448276,58
90,0.21428571428571427,56
91,0.0,3
92,0.0,2
93,0.0,2
94,0.2,5
95,0.25,4
96,0.0,2
97,0.2,5
100,0.0,1
101,0.25,4
102,0.6,5
103,0.75,8
104,0.0,4
106,0.0,2
107,0.0,5
108,0.0,5
109,0.5,2
110,0.2,5
111,0.0,5
114,0.0,2
116,0.0,1
118,0.0,4
121,0.0,3
122,0.0,1
124,0.0,1
125,1.0,1
126,0.0,1
131,1.0,1
132,0.36363636363636365,11
138,1.0,1
141,0.375,8
145,1.0,1
150,1.0,1
154,0.6,10
161,0.18181818181818182,11
168,0.125,8
175,0.375,16
178,0.2,10
